B1,B2,B3,Actual
50,50,62,85
60,60,73,86
81,78,84,92
42,47,40,77
54,75,70,82
69,71,67,81
65,77,69,90
44,61,65,76
79,83,84,94
61,64,68,79
65,55,60,83
66,62,76,81
72,78,79,86
85,86,91,95
66,75,71,88
66,75,75,84
65,73,75,79
68,72,80,94
65,81,74,89
54,65,65,76
68,67,79,83
78,84,86,97
68,71,80,84
81,84,86,88
85,91,91,97
69,59,64,89
54,67,72,86
59,76,87,90
42,71,61,84
55,65,73,80
77,79,85,94
70,77,83,92
71,76,79,91
38,52,65,82
49,41,57,67
60,77,77,89
54,64,64,83
71,74,83,86
68,77,74,81
79,80,84,96
71,75,78,85
63,62,74,85
49,54,65,71
56,76,78,90
53,74,83,78
46,64,73,88
68,73,78,83
63,64,65,83
62,78,73,94
42,61,67,76
49,64,77,81
60,66,77,83
53,71,70,85
73,80,84,89
55,67,58,83
67,73,77,86
53,65,66,82
52,62,67,85
60,70,71,80
58,67,75,84
63,59,71,77
55,69,73,87
57,63,70,81
81,83,83,92
89,87,90,94
55,55,67,81
65,75,74,89
56,68,68,92
62,78,76,96
78,75,81,92
58,65,72,85
73,70,77,84
77,76,79,91
67,87,94,91
50,62,73,85
50,66,71,80
58,65,75,79
66,70,79,89
68,78,76,90
53,70,77,88
63,66,68,94
56,64,77,82
70,61,77,91
45,65,76,80
63,73,77,86
70,70,73,86
67,73,82,87
73,78,83,87
54,64,69,81
42,65,73,78
59,66,73,86
62,60,70,81
68,75,70,81
64,73,83,88
64,75,72,85
72,79,82,94
56,72,78,85
61,66,57,90
75,73,77,86
82,78,77,92
67,80,81,89
51,46,72,78
89,79,87,92
79,80,91,96
48,55,60,80
63,64,65,83
57,68,57,78
58,61,68,78
47,65,65,83
84,84,82,99
55,60,72,87
56,71,64,82
57,78,69,77
50,74,71,83
57,58,65,82
79,75,81,90
61,59,67,86
61,63,63,86
59,63,65,80
48,64,75,85
45,57,60,80
68,68,80,88
67,71,67,92
50,57,69,82
50,64,57,86
74,78,86,92
66,74,76,82
58,58,76,87
52,76,67,89
49,67,81,86
59,75,82,84
42,56,62,79
60,68,85,85
62,55,60,86
57,59,69,86
63,75,69,83
42,62,70,82
82,82,83,99
81,88,88,97
60,61,71,89
73,79,64,93
68,71,83,91
74,81,83,88
52,66,67,76
56,68,75,83
46,62,69,88
69,66,73,80
79,71,80,84
61,71,68,88
58,63,75,89
48,68,75,88
55,71,74,83
55,71,74,83
90,88,91,92
76,79,79,84
87,78,79,95
77,74,71,82
69,72,70,92
77,78,77,93
80,74,78,93
65,46,84,83
67,61,78,79
63,77,79,79
63,68,81,86
30,47,64,77
52,76,67,89
60,59,75,83
52,67,49,84
65,68,83,88
37,55,69,75
67,76,89,95
74,85,82,89
73,66,80,88
80,79,77,91
41,63,54,82
48,74,61,78
55,68,75,83
73,75,74,90
75,77,76,87
81,89,86,93
56,62,62,79
53,64,56,80
50,76,72,88
61,61,78,87
75,77,86,87
73,80,85,91
78,87,87,92
68,67,70,79
44,66,44,79
76,87,85,92
58,66,74,77
66,63,77,83
56,66,74,86
77,81,85,89
48,56,56,77
54,63,66,85
67,73,71,80
52,61,64,79
58,62,60,84
75,88,80,94
65,70,75,92
68,65,72,85
78,57,72,87
62,52,73,84
60,61,78,90
76,83,85,97
61,78,68,81
68,61,79,79
81,81,90,92
48,49,62,81
67,74,77,86
74,87,79,94
59,72,76,82
56,59,68,79
65,73,76,85
48,69,75,80
44,67,72,81
49,65,66,83
61,80,78,91
54,62,72,85
60,67,69,82
42,44,58,76
80,81,81,92
36,51,57,76
62,67,79,91
66,59,81,85
62,62,75,87
52,59,74,87
70,79,82,91
52,63,70,81
57,50,62,81
74,79,80,87
74,81,84,94
45,63,55,77
66,72,72,94
60,67,69,83
60,67,69,83
35,57,60,82
33,53,65,79
57,63,76,88
48,56,64,75
55,53,72,77
88,88,94,96
85,83,83,92
52,61,61,76
64,58,76,86
60,68,76,83
62,83,72,88
